week,region,complaint_count,precipitation_mm,Anxiety/Worried,Complaint,Anger/Rage,Sad/Disappointed,Suspicion/Mistrust,Expectation,Irritation,Embarrassment/Distress
2021-01-19/2021-01-25,울산광역시,1,1.3142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-19/2021-01-25,인천광역시,0,1.1142857142857143,,,,,,,,
2021-01-19/2021-01-25,전라남도,1,2.218681318681319,0.2486594200134278,0.0,0.0,0.0,0.0,0.6707442283630372,0.0,0.0
2021-01-19/2021-01-25,전라북도,1,1.4471428571428573,0.0,0.0,0.0,0.0,0.0,0.9400222599506378,0.0,0.0
2021-01-19/2021-01-25,제주특별자치도,0,5.942857142857143,,,,,,,,
2021-01-19/2021-01-25,충청남도,2,1.6428571428571428,0.2272558018565178,0.410116446018219,0.23375068455934525,0.14902299866080287,0.18030160069465634,0.13837213218212124,0.22240458726882936,0.21008238196372986
2021-01-19/2021-01-25,충청북도,1,0.7771428571428572,0.5903318613767624,0.6413744658231735,0.9337196052074432,0.4976979225873946,0.6288395166397095,0.0,0.273145467042923,0.0
2021-01-26/2021-02-01,강원도,1,0.6408163265306123,0.0,0.6014355510473252,0.0,0.7658279955387115,0.0,0.584090119600296,0.0,0.0
2021-01-26/2021-02-01,경기도,10,0.9799999999999999,0.5524509341455996,0.24000645438209178,0.15639435928314924,0.18943966366350648,0.30527878319844604,0.0891843719407916,0.14172136932611465,0.12932224571704865
2021-01-26/2021-02-01,경상남도,2,4.841836734693878,0.715821272134781,0.1583944797515869,0.2867204010486603,0.3977612555027008,0.722065305709839,0.0,0.0,0.0
2021-01-26/2021-02-01,경상북도,0,2.039795918367347,,,,,,,,
2021-01-26/2021-02-01,광주광역시,4,3.3142857142857145,0.2307942807674408,0.0,0.0,0.0,0.0,0.3703463286161423,0.0,0.0
2021-01-26/2021-02-01,대구광역시,2,2.8285714285714283,0.30877939984202385,0.4589676409959793,0.35610271766781804,0.4639801517128945,0.4836417220532895,0.0,0.17564739733934406,0.1234622061252594
2021-01-26/2021-02-01,대전광역시,0,1.957142857142857,,,,,,,,
2021-01-26/2021-02-01,부산광역시,1,5.757142857142857,0.1743090629577637,0.9532560706138611,0.8417170464992524,0.5648026674985884,0.4671425521373749,0.0,0.6762287855148316,0.0657678946852684
2021-01-26/2021-02-01,서울특별시,0,0.7000000000000001,,,,,,,,
